category,target,k,features,R2,Q2,RMSE,CV,equation
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|rate kobs (s-1)|ar1_bond_length_c_e|ar2_Ar_Ster_B5|ar2_sterimol_B5,0.8146675671456416,0.4861912129707724,1.907201271292815,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|rate kobs (s-1)|ar1_bond_length_c_e|ar2_Ar_Ster_B5|ar2_sterimol_B5,0.8146675671456416,0.4861912129707724,1.907201271292815,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_Ar_HOMO|ar2_Ar_Ster_B5|ar2_sterimol_B5|ar1_nbo_q_a,0.6936160786413292,0.4706742982930904,2.452188206087831,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_Ar_HOMO|ar2_Ar_Ster_B5|ar2_sterimol_B5|ar1_Ar_NBO_OH,0.6936160786413292,0.4706742982930904,2.452188206087831,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_homo_hartree|ar2_Ar_Ster_B5|ar2_sterimol_B5|ar1_nbo_q_a,0.6936160786413292,0.4706742982930904,2.452188206087831,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_homo_hartree|ar2_Ar_Ster_B5|ar2_sterimol_B5|ar1_Ar_NBO_OH,0.6936160786413292,0.4706742982930904,2.452188206087831,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_Ar_HOMO|ar2_Ar_Ster_B5|ar1_nbo_q_a|ar1_Ar_NBO_OH,0.6994489341186354,0.45600817595969,2.4287339879757517,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_Ar_HOMO|ar2_sterimol_B5|ar1_nbo_q_a|ar1_Ar_NBO_OH,0.6994489341186354,0.45600817595969,2.4287339879757517,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_homo_hartree|ar2_Ar_Ster_B5|ar1_nbo_q_a|ar1_Ar_NBO_OH,0.6994489341186354,0.45600817595969,2.4287339879757517,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_homo_hartree|ar2_sterimol_B5|ar1_nbo_q_a|ar1_Ar_NBO_OH,0.6994489341186354,0.45600817595969,2.4287339879757517,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,rate kobs (s-1)|ar1_bond_length_c_e|ar2_Ar_Ster_B5|ar2_sterimol_B5,0.741442247336769,0.4474032806262478,2.252680482721824,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_Ar_HOMO|ar1_bond_length_c_e|ar2_Ar_Ster_B5|ar2_sterimol_B5,0.7467720739341766,0.44671074409056954,2.229341564644566,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_homo_hartree|ar1_bond_length_c_e|ar2_Ar_Ster_B5|ar2_sterimol_B5,0.7467720739341766,0.44671074409056954,2.229341564644566,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_Ar_HOMO|rate kobs (s-1)|ar1_bond_length_c_e|ar2_Ar_Ster_B5,0.822083901097158,0.4445777156138797,1.8686520337553838,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_Ar_HOMO|rate kobs (s-1)|ar1_bond_length_c_e|ar2_sterimol_B5,0.822083901097158,0.4445777156138797,1.8686520337553838,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_homo_hartree|rate kobs (s-1)|ar1_bond_length_c_e|ar2_Ar_Ster_B5,0.822083901097158,0.4445777156138797,1.8686520337553838,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_homo_hartree|rate kobs (s-1)|ar1_bond_length_c_e|ar2_sterimol_B5,0.822083901097158,0.4445777156138797,1.8686520337553838,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_Ar_HOMO|rate kobs (s-1)|ar2_Ar_Ster_B5|ar1_nbo_q_a,0.8098669813438611,0.44296154290938194,1.9317440616071446,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_Ar_HOMO|rate kobs (s-1)|ar2_Ar_Ster_B5|ar1_Ar_NBO_OH,0.8098669813438611,0.44296154290938194,1.9317440616071446,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_Ar_HOMO|rate kobs (s-1)|ar2_sterimol_B5|ar1_nbo_q_a,0.8098669813438611,0.44296154290938194,1.9317440616071446,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_Ar_HOMO|rate kobs (s-1)|ar2_sterimol_B5|ar1_Ar_NBO_OH,0.8098669813438611,0.44296154290938194,1.9317440616071446,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_homo_hartree|rate kobs (s-1)|ar2_Ar_Ster_B5|ar1_nbo_q_a,0.8098669813438611,0.44296154290938194,1.9317440616071446,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_homo_hartree|rate kobs (s-1)|ar2_Ar_Ster_B5|ar1_Ar_NBO_OH,0.8098669813438611,0.44296154290938194,1.9317440616071446,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_homo_hartree|rate kobs (s-1)|ar2_sterimol_B5|ar1_nbo_q_a,0.8098669813438611,0.44296154290938194,1.9317440616071446,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_homo_hartree|rate kobs (s-1)|ar2_sterimol_B5|ar1_Ar_NBO_OH,0.8098669813438611,0.44296154290938194,1.9317440616071446,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,rate kobs (s-1)|ar2_Ar_Ster_B5|ar1_nbo_q_a,0.7458881061002498,0.44155527772165515,2.2332292666444276,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,rate kobs (s-1)|ar2_Ar_Ster_B5|ar1_Ar_NBO_OH,0.7458881061002498,0.44155527772165515,2.2332292666444276,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,rate kobs (s-1)|ar2_sterimol_B5|ar1_nbo_q_a,0.7458881061002498,0.44155527772165515,2.2332292666444276,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,rate kobs (s-1)|ar2_sterimol_B5|ar1_Ar_NBO_OH,0.7458881061002498,0.44155527772165515,2.2332292666444276,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,rate kobs (s-1)|ar1_bond_length_c_e|ar2_Ar_Ster_B5,0.7487916331807211,0.44032804108947754,2.220433976632481,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,rate kobs (s-1)|ar1_bond_length_c_e|ar2_sterimol_B5,0.7487916331807211,0.44032804108947754,2.220433976632481,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|rate kobs (s-1)|ar2_Ar_Ster_B5|ar1_nbo_q_a|ar1_Ar_NBO_OH,0.8009964517163725,0.4364874194467022,1.9762925077277194,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|rate kobs (s-1)|ar2_sterimol_B5|ar1_nbo_q_a|ar1_Ar_NBO_OH,0.8009964517163725,0.4364874194467022,1.9762925077277194,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|rate kobs (s-1)|ar2_Ar_Ster_B5|ar1_nbo_q_a|ar1_Ar_NBO_OH,0.8009964517163725,0.4364874194467022,1.9762925077277194,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|rate kobs (s-1)|ar2_sterimol_B5|ar1_nbo_q_a|ar1_Ar_NBO_OH,0.8009964517163725,0.4364874194467022,1.9762925077277194,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|rate kobs (s-1)|ar2_Ar_Ster_B5|ar2_sterimol_B5|ar1_nbo_q_a,0.7972105156791595,0.433383213401067,1.9950028920387362,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|rate kobs (s-1)|ar2_Ar_Ster_B5|ar2_sterimol_B5|ar1_Ar_NBO_OH,0.7972105156791595,0.433383213401067,1.9950028920387362,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|rate kobs (s-1)|ar2_Ar_Ster_B5|ar2_sterimol_B5|ar1_nbo_q_a,0.7972105156791595,0.433383213401067,1.9950028920387362,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|rate kobs (s-1)|ar2_Ar_Ster_B5|ar2_sterimol_B5|ar1_Ar_NBO_OH,0.7972105156791595,0.433383213401067,1.9950028920387362,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|rate kobs (s-1)|ar1_bond_length_c_a|ar2_Ar_Ster_B5|ar2_sterimol_B5,0.8150302482025379,0.4280279966412984,1.9053342356715943,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|rate kobs (s-1)|ar1_bond_length_c_a|ar2_Ar_Ster_B5|ar2_sterimol_B5,0.8150302482025379,0.4280279966412984,1.9053342356715943,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,ar2_Ar_HOMO|rate kobs (s-1)|ar1_nbo_q_a,0.8212667602882288,0.4268869022113584,1.8729383310490562,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,ar2_Ar_HOMO|rate kobs (s-1)|ar1_Ar_NBO_OH,0.8212667602882288,0.4268869022113584,1.8729383310490562,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,ar2_homo_hartree|rate kobs (s-1)|ar1_nbo_q_a,0.8212667602882288,0.4268869022113584,1.8729383310490562,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,ar2_homo_hartree|rate kobs (s-1)|ar1_Ar_NBO_OH,0.8212667602882288,0.4268869022113584,1.8729383310490562,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,ar2_Ar_HOMO|ar2_Ar_Ster_B5|ar1_nbo_q_a,0.7000863133148962,0.41840848996803637,2.426157310849913,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,ar2_Ar_HOMO|ar2_Ar_Ster_B5|ar1_Ar_NBO_OH,0.7000863133148962,0.41840848996803637,2.426157310849913,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,ar2_Ar_HOMO|ar2_sterimol_B5|ar1_nbo_q_a,0.7000863133148962,0.41840848996803637,2.426157310849913,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,ar2_Ar_HOMO|ar2_sterimol_B5|ar1_Ar_NBO_OH,0.7000863133148962,0.41840848996803637,2.426157310849913,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,ar2_homo_hartree|ar2_Ar_Ster_B5|ar1_nbo_q_a,0.7000863133148962,0.41840848996803637,2.426157310849913,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,ar2_homo_hartree|ar2_Ar_Ster_B5|ar1_Ar_NBO_OH,0.7000863133148962,0.41840848996803637,2.426157310849913,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,ar2_homo_hartree|ar2_sterimol_B5|ar1_nbo_q_a,0.7000863133148962,0.41840848996803637,2.426157310849913,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,ar2_homo_hartree|ar2_sterimol_B5|ar1_Ar_NBO_OH,0.7000863133148962,0.41840848996803637,2.426157310849913,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_homo_hartree|rate kobs (s-1)|ar1_bond_length_c_e|ar2_Ar_Ster_B5,0.8095346665674885,0.41655185357265856,1.933431477202324,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_homo_hartree|rate kobs (s-1)|ar1_bond_length_c_e|ar2_sterimol_B5,0.8095346665674885,0.41655185357265856,1.933431477202324,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_Ar_HOMO|rate kobs (s-1)|ar1_nbo_q_a|ar1_Ar_NBO_OH,0.799613274334634,0.4157996989425371,1.9831487412901978,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_homo_hartree|rate kobs (s-1)|ar1_nbo_q_a|ar1_Ar_NBO_OH,0.799613274334634,0.4157996989425371,1.9831487412901978,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_Ar_polar|rate kobs (s-1)|ar1_nbo_q_a|ar1_Ar_NBO_OH,0.8006216138590883,0.4148008704620866,1.978152878436423,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_isotropic_polarizability_au|rate kobs (s-1)|ar1_nbo_q_a|ar1_Ar_NBO_OH,0.8006216138590883,0.4148008704620866,1.978152878436423,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar2_Ar_polar|rate kobs (s-1)|ar1_nbo_q_a|ar1_Ar_NBO_OH,0.8006216138590883,0.4148008704620866,1.978152878436423,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar2_isotropic_polarizability_au|rate kobs (s-1)|ar1_nbo_q_a|ar1_Ar_NBO_OH,0.8006216138590883,0.4148008704620866,1.978152878436423,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_Ar_HOMO|rate kobs (s-1)|ar1_bond_length_c_a|ar2_Ar_Ster_B5,0.8246568623583704,0.4102459814102909,1.855090925566074,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_Ar_HOMO|rate kobs (s-1)|ar1_bond_length_c_a|ar2_sterimol_B5,0.8246568623583704,0.4102459814102909,1.855090925566074,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_homo_hartree|rate kobs (s-1)|ar1_bond_length_c_a|ar2_Ar_Ster_B5,0.8246568623583704,0.4102459814102909,1.855090925566074,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_homo_hartree|rate kobs (s-1)|ar1_bond_length_c_a|ar2_sterimol_B5,0.8246568623583704,0.4102459814102909,1.855090925566074,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar1_bond_length_c_a|ar1_q_a|ar1_bond_length_c_e|ar1_nbo_q_a,0.8301808606583301,0.4095419797753722,1.8256357513505126,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar1_bond_length_c_a|ar1_q_a|ar1_bond_length_c_e|ar1_Ar_NBO_OH,0.8301808606583301,0.4095419797753722,1.8256357513505126,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar1_bond_length_c_a|ar1_q_a|ar1_bond_length_c_e|ar1_nbo_q_a,0.8301808606583301,0.4095419797753722,1.8256357513505126,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar1_bond_length_c_a|ar1_q_a|ar1_bond_length_c_e|ar1_Ar_NBO_OH,0.8301808606583301,0.4095419797753722,1.8256357513505126,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,rate kobs (s-1)|ar1_bond_length_c_a|ar2_Ar_Ster_B5|ar2_sterimol_B5,0.7324640339017494,0.40763540548811517,2.2914579996245914,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_Ar_HOMO|ar1_bond_length_c_a|ar2_Ar_Ster_B5|ar2_sterimol_B5,0.7488685755552491,0.40735937511880593,2.220093903272592,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_homo_hartree|ar1_bond_length_c_a|ar2_Ar_Ster_B5|ar2_sterimol_B5,0.7488685755552491,0.40735937511880593,2.220093903272592,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,rate kobs (s-1)|ar2_Ar_Ster_B5|ar1_nbo_q_a|ar1_Ar_NBO_OH,0.6909996892654819,0.40671579123971524,2.4626362741367505,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,rate kobs (s-1)|ar2_sterimol_B5|ar1_nbo_q_a|ar1_Ar_NBO_OH,0.6909996892654819,0.40671579123971524,2.4626362741367505,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,rate kobs (s-1)|ar1_bond_length_c_a|ar2_Ar_Ster_B5,0.7400805419038041,0.4002160729760341,2.258604611968905,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,rate kobs (s-1)|ar1_bond_length_c_a|ar2_sterimol_B5,0.7400805419038041,0.4002160729760341,2.258604611968905,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|rate kobs (s-1)|ar1_bond_length_c_e|ar2_Ar_Ster_B5|ar1_nbo_q_a,0.8121902666754575,0.3989417152891076,1.9199055417298385,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|rate kobs (s-1)|ar1_bond_length_c_e|ar2_Ar_Ster_B5|ar1_Ar_NBO_OH,0.8121902666754575,0.3989417152891076,1.9199055417298385,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|rate kobs (s-1)|ar1_bond_length_c_e|ar2_sterimol_B5|ar1_nbo_q_a,0.8121902666754575,0.3989417152891076,1.9199055417298385,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|rate kobs (s-1)|ar1_bond_length_c_e|ar2_sterimol_B5|ar1_Ar_NBO_OH,0.8121902666754575,0.3989417152891076,1.9199055417298385,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|rate kobs (s-1)|ar1_bond_length_c_e|ar2_Ar_Ster_B5|ar1_nbo_q_a,0.8121902666754575,0.3989417152891076,1.9199055417298385,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|rate kobs (s-1)|ar1_bond_length_c_e|ar2_Ar_Ster_B5|ar1_Ar_NBO_OH,0.8121902666754575,0.3989417152891076,1.9199055417298385,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|rate kobs (s-1)|ar1_bond_length_c_e|ar2_sterimol_B5|ar1_nbo_q_a,0.8121902666754575,0.3989417152891076,1.9199055417298385,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|rate kobs (s-1)|ar1_bond_length_c_e|ar2_sterimol_B5|ar1_Ar_NBO_OH,0.8121902666754575,0.3989417152891076,1.9199055417298385,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,rate kobs (s-1)|ar2_Ar_Ster_B5|ar2_sterimol_B5|ar1_nbo_q_a,0.731422498859544,0.39669996031321586,2.295914064951397,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,rate kobs (s-1)|ar2_Ar_Ster_B5|ar2_sterimol_B5|ar1_Ar_NBO_OH,0.731422498859544,0.39669996031321586,2.295914064951397,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar1_q_a|ar1_bond_length_c_e|ar1_nbo_q_a|ar1_Ar_NBO_OH,0.8262927356507591,0.38896998700486896,1.8464170617432394,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar1_q_a|ar1_bond_length_c_e|ar1_nbo_q_a|ar1_Ar_NBO_OH,0.8262927356507591,0.38896998700486896,1.8464170617432394,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_homo_hartree|rate kobs (s-1)|ar1_bond_length_c_a|ar2_Ar_Ster_B5,0.8023053029936226,0.38823177539619624,1.9697827238753682,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_homo_hartree|rate kobs (s-1)|ar1_bond_length_c_a|ar2_sterimol_B5,0.8023053029936226,0.38823177539619624,1.9697827238753682,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,ar2_Ar_HOMO|ar1_nbo_q_a|ar1_Ar_NBO_OH,0.6782977927644742,0.387096452681132,2.512741627021264,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,ar2_homo_hartree|ar1_nbo_q_a|ar1_Ar_NBO_OH,0.6782977927644742,0.387096452681132,2.512741627021264,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_homo_hartree|rate kobs (s-1)|ar1_nbo_q_a|ar1_Ar_NBO_OH,0.7900921008397287,0.38590357435799494,2.0297156727769066,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_Ar_HOMO|ar1_bond_length_c_e|ar2_Ar_Ster_B5|ar1_nbo_q_a,0.7403380322564834,0.38590175169063534,2.25748558646925,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_Ar_HOMO|ar1_bond_length_c_e|ar2_Ar_Ster_B5|ar1_Ar_NBO_OH,0.7403380322564834,0.38590175169063534,2.25748558646925,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_Ar_HOMO|ar1_bond_length_c_e|ar2_sterimol_B5|ar1_nbo_q_a,0.7403380322564834,0.38590175169063534,2.25748558646925,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_Ar_HOMO|ar1_bond_length_c_e|ar2_sterimol_B5|ar1_Ar_NBO_OH,0.7403380322564834,0.38590175169063534,2.25748558646925,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),4,ar2_homo_hartree|ar1_bond_length_c_e|ar2_Ar_Ster_B5|ar1_nbo_q_a,0.7403380322564834,0.38590175169063534,2.25748558646925,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
